chr vpPos vpID name type
chr1 45327373 H3K27ac_ENCODE_15071 Peak_12528 H3K27ac
chr1 44213188 H3K27ac_ENCODE_14834 Peak_21428 H3K27ac
chr1 44925250 CTCF_ENCODE_19335 CTCF_ENCODE_19335 CTCF
chr1 45750559 H3K27ac_ENCODE_15198 Peak_2870 H3K27ac
chr1 45624049 ENSG00000159588.15 CCDC17 TSS
chr1 45512768 CTCF_ENCODE_30196 CTCF_ENCODE_30196 CTCF
chr1 42846618 CTCF_ENCODE_14013 CTCF_ENCODE_14013 CTCF
chr1 45340052 ENSG00000132773.12 TOE1 TSS
chr1 42946397 H3K27ac_ENCODE_14637 Peak_56025 H3K27ac
chr1 43666285 ENSG00000066135.13 KDM4A TSS
chr1 42740254 ENSG00000164007.10 CLDN19 TSS
chr1 45750840 CTCF_ENCODE_9035 CTCF_ENCODE_9035 CTCF
chr1 44715128 H3K27ac_ENCODE_14885 Peak_25318 H3K27ac
chr1 44721769 CTCF_ENCODE_4943 CTCF_ENCODE_4943 CTCF
chr1 44746406 ENSG00000142945.13 KIF2C TSS
chr1 45500073 ENSG00000280670.3 CCDC163 TSS
chr1 44799935 H3K27ac_ENCODE_14895 Peak_8452 H3K27ac
chr1 45521321 H3K27ac_ENCODE_15155 Peak_8406 H3K27ac
chr1 42173521 CTCF_ENCODE_40177 CTCF_ENCODE_40177 CTCF
chr1 43143837 CTCF_ENCODE_12306 CTCF_ENCODE_12306 CTCF
chr1 42189928 CTCF_ENCODE_459 CTCF_ENCODE_459 CTCF
chr1 44827434 CTCF_ENCODE_3917 CTCF_ENCODE_3917 CTCF
chr1 43453808 ENSG00000178922.16 HYI TSS
chr1 42943440 H3K27ac_ENCODE_14635 Peak_37884 H3K27ac
chr1 43767016 H3K27ac_ENCODE_14790 Peak_26883 H3K27ac
chr1 42785007 ENSG00000274386.5 TMEM269 TSS
chr1 44819372 H3K27ac_ENCODE_14901 Peak_22567 H3K27ac
chr1 43934398 CTCF_ENCODE_35225 CTCF_ENCODE_35225 CTCF
chr1 43389882 ENSG00000198198.16 SZT2 TSS
chr1 43839174 H3K27ac_ENCODE_14799 Peak_32651 H3K27ac
chr1 45490952 H3K27ac_ENCODE_15131 Peak_46527 H3K27ac
chr1 42769678 ENSG00000164008.16 C1orf50 TSS
chr1 43152758 ENSG00000186973.11 FAM183A TSS
chr1 42953750 H3K27ac_ENCODE_14640 Peak_40366 H3K27ac
chr1 45584942 H3K27ac_ENCODE_15186 Peak_19535 H3K27ac
